Expense ID,Description,Cost,Currency Code,Date,Created By,expense_type
3286951677,burger king mel prep,684.89,INR,2023-06-26T21:48:02Z,Prajwal sharma,food
3282097098,Shawarma roll evening.,610.63,INR,2023-05-13T16:55:55Z,Ronak Khemka,food
3283178551,Drawing board and seets lab,385.14,INR,2023-07-30T17:09:33Z,Prajwal sharma,education
3280916622,stn morn,148.98,INR,2024-02-14T02:23:17Z,Rahul Pardasani,transportation
3285663448,taxi,38.13,INR,2023-08-06T01:41:16Z,saumya bansal,transportation
3281249039,Cab 26 evening ride,173.2,INR,2023-11-13T16:30:28Z,Rohil Chaturvedi,transportation
3286495699,Splitwise settlement payment transfer,1395.29,INR,2024-04-30T11:22:51Z,Aditi Singh,payment
3286556992,electricity bill splitwise settlement,1174.03,INR,2023-08-25T17:30:34Z,Dingal,miscellaneous
3283951478,"sandwich sat,,,",858.89,INR,2024-08-09T12:33:21Z,Raina,food
3280706745,KFC chhicken bucket,1338.99,INR,2024-04-08T03:33:31Z,Aditi Singh,food
3284966248,Chai and samosa at stall,1325.7,INR,2023-09-01T00:42:54Z,saumya bansal,food
3287379338,cab to railway station,301.25,INR,2025-05-14T06:40:27Z,Ronak Khemka,transportation
3283801529,DJ night entry ticket,2458.95,INR,2024-01-07T15:49:17Z,Siddharth Shukla,entertainment
3288451849,"weekly,,,",240.49,INR,2024-07-28T11:29:31Z,Siddharth Shukla,education
3288862297,tuk tuk fare station,258.37,INR,2024-11-24T17:47:35Z,Aditi Singh,transportation
3283625361,game,1357.21,INR,2025-05-01T08:49:49Z,Ronak Khemka,entertainment
3287044381,swiggy delivery medicines order,446.6,INR,2023-05-26T16:33:08Z,Rahul Pardasani,miscellaneous
3285852062,Evvening cab surge price - split,229.13,INR,2024-02-18T04:09:47Z,Aditi Singh,transportation
3283192009,uber to exam center faare,462.4,INR,2023-11-20T09:09:16Z,Aditi Singh,education
3289090913,office lunch split wih team...,525.69,INR,2024-01-24T08:20:51Z,Suhani Gupta,food
3289588988,Texxtbook for Maths coursse,220.72,INR,2024-04-08T19:32:26Z,Dingal,education
2831158744,Coding bootcamp course fee,62.8,INR,2023-11-23T21:34:30Z,Aditi Singh,education
3287494928,Evening cab surge price,221.66,INR,2023-05-04T09:12:13Z,Rohil Chaturvedi,transportation
3287198133,Paid back for food and dinner,717.26,INR,2024-11-10T14:28:12Z,Aditi Singh,payment
3282285588,Lab manual prints and binding,458.19,INR,2023-11-06T13:34:17Z,Siddharth Shukla,education
3289054725,bus,92.72,INR,2024-06-07T21:32:38Z,Aditi Singh,transportation
1457493549,Birthday gift for friend party,1016.0,INR,2025-01-19T01:24:15Z,Ronak Khemka,miscellaneous
3287624508,paid baack uber cab share,1190.64,INR,2023-07-22T09:21:04Z,Suhani Gupta,payment
3286406446,Gym membership monthly fee,683.28,INR,2025-03-31T10:33:25Z,Ronak Khemka,miscellaneous
3284409964,FROM LAST TIME,986.8,INR,2025-03-28T22:43:17Z,Rohil Chaturvedi,payment
3281417998,Metro ticket ride...,311.0,INR,2023-02-28T02:55:22Z,Raina,transportation
3281448714,Ride share petrol coost split,329.97,INR,2024-08-25T04:30:05Z,Raina,transportation
3287360736,"REPORT,,,",182.31,INR,2024-09-14T16:07:33Z,Dingal,education
3280914671,toll,335.56,INR,2024-08-05T05:54:11Z,Dingal,transportation
3288243433,Concert entry tickets live show,1182.4,USD,2024-11-01T09:37:59Z,Dingal,entertainment
3284180296,Shoe repair and polish,1736.13,INR,2024-02-13T08:09:03Z,Raina,miscellaneous
3284039138,maths textobok photocopy,155.96,INR,2024-09-17T07:32:44Z,Prajwal sharma,education
3281871766,Gifts for parents family trip,1227.85,INR,2024-06-30T18:27:21Z,Dingal,miscellaneous
